Sports and Entertainment,Event Attendance,people
Periodic fluctuation,Periodic fluctuation,Random fluctuation,Random fluctuation,Single Peak Distribution,Random fluctuation,Random fluctuation
926310.4950318292,708578.3632878755,361444.76743185974,848641.6382940043,304791.9521642618,585993.95970651,465474.4927215004
736314.0285411417,601668.6626754139,345304.3456309682,860817.4903786795,281313.8929746634,509050.91167426354,592303.0808039919
567332.4186787335,371826.5386841674,658390.2139476078,786833.807940387,170633.2218382691,447887.41912805283,529439.4332837751
368722.5194540523,383048.77230450424,463588.55031298794,782790.1302240454,173615.34506825314,458603.066786275,517316.4115623488
163296.02220680309,303329.1581922435,485873.1025460222,548228.9344146752,166223.72297591815,321221.2621172857,413787.64565113164
72758.37136380235,163310.12369632215,543128.6928337724,553886.7353529637,142547.84375171078,224291.9241898714,148178.28301649887
62070.07035317291,72197.2030568586,510206.61262319336,704379.6085298929,51286.5222821188,275992.64811973035,319610.6931096744
102324.72911746969,102241.34547097732,589016.5217033734,796502.9033350591,79390.73882983447,379034.2115802094,363468.22661341546
200122.52773411616,0.0,516484.03359882813,780475.3481007448,126246.26746818019,545126.7052590873,253912.25275824935
408570.9996723605,94788.28900292107,533297.6608538806,768409.3552476672,5693.084602922439,641647.3567548201,77044.07443327304
705092.7314556144,236820.408478269,532739.3129632504,726358.1413217755,85411.037031224,733987.351786357,164290.9427066314
821126.2141457273,307342.3794536939,456753.04170719965,817718.6302126303,145728.68624224176,696800.2048251143,61071.61101920817
844490.0761899629,431700.52325906616,277228.07952731854,735103.5973318676,97115.67204301835,700974.0764832927,0.0
929131.8914528022,547281.487270389,419868.7715737178,716835.305521001,102326.70199073582,517576.1495391695,208487.7239862061
842274.87360081,688968.5214115002,419249.7327927752,706518.0040763145,62171.263030906965,662981.6890382044,277618.19176747184
685322.1046928279,833064.2856921229,604359.0786306607,667518.8397501662,55709.41155836172,820309.1531529787,214838.23330023748
475281.78383326245,922445.6746667915,547280.1159888562,677204.6055930204,154540.49909170513,851837.6068611725,355872.1221004138
243870.12306333025,970507.9483676197,573528.1373980067,725425.7364899088,75254.52673325676,727430.2406740759,303944.35273158253
154250.3100695389,918221.814570026,565297.6615678747,761448.4087674539,0.0,647855.1539719678,339087.17981010367
