Food and Beverage Industry,Consumer Preferences,%
Periodic fluctuation,Random fluctuation,Random fluctuation,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution
31.822435614382442,79.14835428915845,7.764798753737534,52.83642763133417,96.64105310698994,61.377085195041104,64.51437505753475
34.49777761319659,84.2616956635933,27.4836741599565,67.03354195120514,88.09744170591168,76.04366804540642,77.75370142842878
48.30626502095907,81.83538804627023,27.65780628752387,91.30797755431495,74.61717702209242,95.43362307060427,78.11963543836188
69.67888408711579,88.12360094534992,27.23227056521324,94.99643969066945,56.81575194118448,93.25989490185795,90.36451212712812
84.04475590253688,75.60089702700547,14.5696077729295,100.0,42.72980013578485,100.0,100.0
88.66018565534462,66.31535440146502,24.649240607322966,96.25693008658524,21.12003583112346,99.61641739081118,89.39440268570748
93.05652871528497,77.00075161298587,17.921748799590805,87.12949564218113,8.302787164583547,93.69598844078402,99.78320070365601
92.49493971575802,80.69339353455689,31.82999353661072,82.88137864580393,3.1224502749278518,81.53439843775088,76.48841140940965
96.10908929702782,64.78062655811434,39.556183287706794,72.84158729236833,5.128022507381297,76.4349390862812,69.47027819348537
90.35190626605288,52.38052508413905,30.542455665176977,57.34568342503867,19.633490341168237,70.36145901964504,57.51589971965095
77.9173767875314,32.92931668838023,42.8110969344392,46.32286294557146,28.616274062313373,48.005775350266624,49.74404646727161
72.37610497735244,34.57597512951245,44.01250869502048,36.38471092515101,43.8226043216836,38.56530071902605,35.665022467640156
54.54407754501928,50.00122888595796,33.75261353472762,26.60231924803852,65.42270233595568,27.515477894205414,22.961872525624187
39.43997008337663,41.90764807899914,31.825289745834713,25.884952889069666,79.16159669222841,19.333301969993055,22.54075758140531
35.398456061423104,34.561689181200315,24.72010222565869,18.781251960469948,90.20386443719917,18.65511708793522,19.972386962933875
24.441333142565316,31.628703542276337,35.30800727127782,12.045238546363288,90.44425120393191,0.0,9.489177094291788
6.999773864915648,33.00873679986556,20.399586879323284,7.186728510746438,100.0,14.079575430778613,14.54777297370336
6.139862034787499,33.41196483358079,26.85583357065042,18.091611562898553,84.52090881883247,12.552585819261635,9.916179315239283
0.0,19.11133751962975,22.344852883607203,11.868373248585089,70.66860260215776,11.717086628745658,15.781168400724688
4.870801219574051,8.33741595942788,19.976559972149474,10.555174518784744,55.67954789902737,15.591340401124832,10.31924992025544
15.487828213551108,12.83080211155293,25.336335255661407,11.424505510052288,34.718790629691526,12.730321559275968,4.470851849294888
16.681686160086112,15.244145394278252,35.035332126527194,3.893738991215484,25.864504722565584,18.090260081008143,14.040681131458207
25.814880655047563,21.108070646167075,47.1840581614338,10.093286180441213,9.660652107295036,8.070884290912556,10.259589340557044
33.33790222164848,16.785450809488577,51.73996686586442,14.38232344343886,0.0,9.71368748810901,5.320780501186561
58.7070541526997,9.279615095091408,71.22205138530813,9.638327227434777,4.436733652764705,13.504751032528182,5.085594542753564
71.18892084609682,12.11398550179462,76.14509760386001,18.02977734134933,24.08632829010392,14.703711418466343,9.59208308391783
84.9163129843576,0.022934194143608866,75.76981491814237,11.583880579748028,36.93353182999072,12.99365299363534,14.032809131369635
86.26262715638538,0.0,68.21836338601685,13.553028551932785,51.46779303050242,6.516567553444275,4.282277836277762
100.0,8.799212198965915,76.93852861819013,10.860968269825321,70.83379140512494,6.197912705169612,9.535074363736348
94.94382331216767,23.78247231708917,77.31183376170382,4.068460916583165,88.73727749078776,15.284488466243268,0.0
