Sports and Entertainment,Event Attendance,people
Single Peak Distribution,Random fluctuation,Random fluctuation,Single Peak Distribution,Random fluctuation,Single Peak Distribution,Single Peak Distribution
763070.7998670284,420142.24424930575,471297.5591976155,627008.0505880775,900847.0926188148,697302.7874023492,730647.6278595013
837298.9631104013,441273.0408748893,373597.5599425137,800257.72901198,895596.5721483941,834751.5348970628,862746.0366539706
871911.7621816362,446672.3798726605,39664.44670567927,840305.9718619174,743452.9254677522,885492.5026956206,854181.5049526746
967251.3760181824,275407.5830417026,32001.356396686864,1000000.0,711798.5507141782,902940.4803934293,1000000.0
1000000.0,474794.9794298658,239495.6896920305,918602.7398532712,654029.4182252006,1000000.0,941998.0469010769
891666.8074451006,503289.11042486056,273956.22923176305,952499.524307585,500566.00065880007,947647.0751562185,929707.7019823914
849375.5140663456,546684.4712516003,377477.9829282116,805035.626937346,469405.98407218204,801533.8394946487,790188.5960185372
701578.724250313,543359.1492899816,318622.32487688557,653813.9740043754,316025.14357414853,670424.3041310725,667940.682420354
563904.0709722445,706475.4369654728,347819.0644155685,643991.8330283369,408308.2324462408,605395.7081545115,513548.7890949336
344538.8718173756,584886.5887824821,621641.6511588194,490300.3379838106,755722.5292012459,426908.77553247014,424095.12207886163
323408.841358088,403753.99643026694,772392.4775720619,303680.53945346974,839311.1470493822,396863.6235558942,388324.2700267428
282525.23259798664,423728.70561125816,645650.0354878701,282598.0270651307,669398.2608137821,251458.07810544944,285427.13249626686
162945.20683028383,526614.2127823364,711473.7705565725,211133.02863717673,575996.7963176749,145448.57803273422,229834.10277931683
143943.28563323125,458696.03003082727,543139.032655426,101137.06464516878,581227.3030384794,148387.0282260094,95339.13543565314
176307.52537154898,342797.6367173544,709889.786690803,150698.98901521703,626134.8729197534,148456.97884812887,65430.10824989132
98138.50863131898,637858.8360275143,769682.2635590605,54600.59588587722,536262.8446590948,152341.6267146454,167641.06591192234
107642.01311962391,501557.2160616069,887723.5400332921,167608.46040693042,417835.3121852958,101958.44262900887,96177.23898537728
125170.76616442371,524202.0899377736,783332.96224477,114271.5182837132,423724.8187763431,64695.5367658823,15601.198663448178
76757.51361785471,174326.70130261313,670448.7951564722,9651.612135342435,441758.94112368894,93721.47925430886,66493.66799091894
107218.97419691138,215352.08838517184,797223.8524999493,124291.69066865748,475126.166563681,31383.859767379763,95322.43557414306
70917.64165155587,237361.41948505057,473458.7374687672,29129.79581169104,443986.43098589865,57540.45109038814,162414.55762935613
28304.803752354823,387081.1334485377,108390.66244347014,81672.23741787256,454710.7171690221,99238.40844173614,43250.819694465026
83641.20265651902,288007.6189151634,0.0,45980.02438457792,504556.20335342357,61232.429236738964,67661.82176355046
2921.471175303402,279599.4857344127,9180.650075008984,71768.98129655943,605656.777836779,40670.45559842235,18562.57170359235
75165.03475952063,332773.1157977334,348198.192688569,0.0,614639.0207469857,58459.939305073836,47592.62303493223
100670.1674616808,128449.24149402387,378553.9266860421,5644.607981687893,489528.32782559557,43852.521907750466,5315.466803610145
125033.96677589412,112249.80176888384,217029.5930455078,78741.15703024696,412764.71715407085,99538.78507060393,123773.41799730796
33187.63383010708,98111.82938546935,203862.71748129814,123379.89008768862,496270.8663607609,101555.7135309977,73731.91494724005
177938.47204981692,0.0,119838.94519322376,40003.9539292616,494456.353840531,169206.11081677876,109973.30232297315
