Real Estate and Housing Market,Housing Price Fluctuation,USD/square foot
Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution,Random fluctuation,Periodic fluctuation,Random fluctuation
937350.3454183616,776936.4913771152,943966.767752652,839366.8065636236,947269.9023462778,330275.57453075016,421443.8322926287
935974.3462476663,928987.9671499085,996969.0563073693,958775.8848878224,873924.3296031624,555870.2444133254,349874.85702632804
1000000.0,921774.5151251935,974043.7592955059,930633.2005586455,873554.9685715176,870496.7142700175,316401.9798486649
842306.0793349942,794848.0583734988,1000000.0,1000000.0,835446.1105805013,961129.5309890885,300452.4784490232
737289.8274873232,478690.13572872645,934035.358340973,756938.9637149879,814885.4628293961,963963.2855035859,275876.31919126067
709810.0772124333,242310.09061426698,773551.6135160162,643972.0944229915,728074.5723632748,838125.5123130335,444149.99298324547
479697.15123575873,111542.4997958272,535802.6577838192,545098.331440843,936338.4316301321,692771.6894385238,375082.5270799408
443464.04112284473,0.0,519832.35746615607,551692.9734653061,882274.0543161023,455266.9977674688,310955.81604048325
353180.10637544806,90937.26361251848,308642.4062400044,287774.2535138236,1000000.0,305529.8039868318,333752.80634426675
115366.3214940546,313212.87460455415,326155.5810214983,237787.3077411508,908547.7118603993,99681.0753564805,355456.1729607906
250404.00411058866,639870.6035570706,111575.60955352383,152378.24430448466,631120.980445813,102081.20332341353,334380.1810727479
161212.24417349548,906285.207869447,88381.28216605845,135392.61574731264,370557.22059206973,174464.39654297533,166026.71351288125
152467.0822389822,975361.4792953349,134357.23945750543,121305.75581346826,283135.1602533858,360188.23058594216,4975.980287594583
0.0,947206.1369959417,45845.413044241286,53527.592082093615,253817.19824705963,576317.6998134357,0.0
163118.79240290678,752472.4740222926,99833.8540108018,63561.99778535511,421674.64479336375,779979.6742133092,135998.4325401146
43502.110766201055,524153.6006047941,175431.82275990467,0.0,640270.5165484522,943818.4259113946,127283.53091488876
15114.26773007536,224215.56923571724,47721.97417888899,82658.82690350641,709839.4526657417,938838.5119088141,476551.30824158026
908.7667002183338,65802.50610488908,52571.308887618296,39907.74534693753,727689.488453694,927835.4304193747,460765.4210818706
109039.73353209674,19662.808839239868,55419.628027741535,113505.89385253224,802764.9908134274,745224.232843287,439374.4325912631
25803.236267298314,70669.03085652526,187455.88971677833,61156.999664449984,815980.334242857,443988.5087920475,455523.72090194986
37377.08212440441,387662.60267509334,106029.73164867613,53877.69416763686,846110.0037303554,253062.1442332357,354756.72472593136
114060.72536502322,627303.6887662115,81948.87782654224,98193.14127223843,804442.9983719462,99222.14741772642,366446.6876073052
80799.9746109534,913079.3341316835,74442.63190212463,45489.22974589675,744811.8549530915,139176.90621743715,352228.1848265479
143797.9153232492,1000000.0,76435.77104252303,112217.05050690973,926422.4603004273,219007.59269152494,2085.544194378126
71046.57844260815,913816.8792770312,165500.21399892593,64883.71375325716,905591.4310216502,349639.10285347985,85870.45588016279
106450.64481601985,791427.4163058645,69630.6756210919,107313.00497371198,916687.8957198372,596687.9761616474,34252.486911860964
110043.07595831619,421137.1984551346,25673.246722734646,85138.77280711237,849753.6378677444,782569.5807558395,80157.16612645486
