Education and Academics,Academic Performance,score
Single Peak Distribution,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation,Periodic fluctuation,Single Peak Distribution,Periodic fluctuation
100.0,97.57249503828656,100.0,96.03421917217993,88.89888892145531,98.47237871789535,14.001288237209037
92.37380844271811,98.26717417850803,95.93131322945622,89.53364083117332,54.796756835576424,95.56669851700048,36.099442949648704
91.73974618459778,93.50886128275894,90.59808083610791,77.30901565426679,36.560955729768644,92.42278183449253,50.41610240320381
78.25319472629441,82.82712874310269,83.58553281900373,61.82808059553035,8.424898712763861,92.5967965325226,79.48727292848542
65.08960977345232,71.94542307555236,68.297562674794,58.245086183868224,0.0,69.9705522164953,92.68349353972354
49.37935873689063,56.803638072223286,59.07014402732814,34.91485212279099,10.8708616870433,58.76964495143218,97.38628810681058
49.64958305978306,35.69741579553417,44.32252401613951,20.551789397604228,32.725335636144244,45.12730771455149,87.75649529966098
37.103890520677886,40.99386053968971,33.563337168764825,10.983409925647852,70.39914761371114,36.482613962159164,68.92653257120391
24.323801732130466,32.873807041856175,37.889324168157884,4.528004133166597,80.6394978597747,23.257523139777895,56.5892956490196
18.442912022021353,17.523796861074793,23.369632585511116,4.453244864208127,98.5688688245453,21.731912853339015,34.73670055895066
17.880613974127193,12.84600390638522,27.1560705603574,2.855540318941959,89.25073244125745,15.43144336661121,15.14539095850389
12.559395398612796,10.858365142412572,6.805626338448641,19.228459543536445,67.87870515283376,18.12681133565342,0.0
11.395381137463362,7.018297930296417,8.746361966993707,27.19822101959305,38.62463036545346,7.025089375174421,3.0602373164641703
9.54407340396278,16.312600997073357,15.439218071938123,45.78482974427159,17.968889418154404,12.767335143922764,20.46458645199147
16.021920721664873,10.407214893520191,15.89792870842719,64.54323638747725,4.13120044268963,7.396498692757309,35.002024659951466
5.83490544729164,5.385741800917697,6.483138091584835,73.7180260823172,4.3938899384342625,13.454046635266215,54.75635141893286
12.659844303538206,0.0,6.53591540366614,84.38922876670495,32.38563468200286,6.676633470488058,82.4089324995823
6.153303042079992,12.178734508903757,6.749148923956276,94.33653780973647,53.687140083448725,16.327504088484822,99.75406853385745
10.24920564184846,3.12087075794921,14.680542630584426,100.0,89.73803988810418,11.083102301796057,99.2693592546706
7.457301793688591,7.970925996801295,10.748672882566455,89.28017996364082,98.43358666724762,14.280240763746063,85.08770451578884
9.602819681370562,5.975988854285195,8.214401894321846,79.56388442578674,95.48468410781268,10.094459415357058,69.98570255944833
0.0,14.247876298562456,6.804461303412148,68.90519553767703,74.76168896584954,4.330120083940998,50.144159178462886
7.42997759267731,14.766242875544117,10.146546151367792,50.48815013951391,47.1136992857079,6.192991886393852,24.228927247021975
5.132553144295191,11.189560452930513,10.579417969312821,46.852499381808244,23.74602103864341,2.262091787998021,9.955655152088182
7.269581641088435,13.24252903675848,5.068099844211138,32.16009840486246,2.3735975205718343,11.942947994177135,0.6509305231316285
7.974513223395969,9.135998471818679,9.960722785297103,13.235893319543516,7.093650321938008,11.775175007995218,1.7791775424857923
