Healthcare and Health,Healthcare Spending,USD/person
Random fluctuation,Single Peak Distribution,Single Peak Distribution,Random fluctuation,Random fluctuation,Random fluctuation,Single Peak Distribution
1596.339660481443,6186.740409330839,8263.510726419203,3640.719243264734,5009.072076744526,5915.235331088808,7422.173335085014
1554.2788748478054,7942.677159574515,8106.842962934497,3201.0289532012202,4960.012047734735,5755.796894164734,8647.243282298341
0.0,9405.50539436646,10000.0,4458.024700439761,4837.620613607354,5184.912982400686,10000.0
647.8616795409288,9791.075282470616,9572.959120336465,4445.960634114436,5269.880424547164,4826.132520035253,9644.193649229484
1003.0503083818707,9845.451282400038,9448.797938458612,3427.2328484361383,4593.454703725246,4669.377977476713,9701.410485755105
823.816776379748,9647.741672447573,9279.718392504907,3453.5771306288298,5302.296268745588,5296.389789056006,9679.792422824969
1674.1273103331334,10000.0,8514.047660004271,2419.4453608517338,5975.614065353881,5146.884693621292,8583.325990680856
2343.453665294554,7092.343328885336,7160.304522788286,618.0113010864467,7204.691171126566,4293.79121747399,7463.259143965793
4587.229289863676,5133.89028220555,5660.232867491952,0.0,7794.575075524175,3545.684113671889,5456.643447490047
3547.82759407193,3633.3665621175064,4781.214147807365,1331.1406532249393,8029.421541900373,3077.0606390075955,4305.951263017854
4182.326879711378,2944.9344357822815,4095.528336169954,1645.7286961889395,8322.31701266387,2973.941857740197,4620.433865264432
4433.8145195244315,2509.733319587397,2212.69148865915,3232.426508043848,8449.79246344091,3503.0653688185494,3259.3515695511187
4564.095780060188,1686.7614342126974,2358.312466981497,3889.9734204924553,9273.064431817475,3308.8472655731066,2447.457806056956
3773.9643140579255,1149.3230917663561,1892.2734867637791,3415.020277439805,10000.0,3240.9866129482784,1986.9120856934076
4408.81348020987,311.0730009852374,0.0,4359.003947318978,9252.461891391442,2743.4088529038354,834.8639996290293
3859.6933710261114,1080.5962488824655,838.5160235628157,5166.00683165859,8440.559135235468,1790.9628709827475,721.903216495588
4842.423048679313,728.1812885979328,748.6358319966325,4100.0253593594825,8869.759999906644,2607.2597646683216,1450.0093156261942
4117.646859658845,1431.321198965938,228.5247341326069,2427.04522985246,8141.8136761387095,1746.5155300307038,1479.271193706085
5060.969334182036,355.90584850266544,631.0966410081526,1527.4414264387476,7469.898346726981,1769.9311796171412,1030.901533540553
5685.861651004024,649.6532770908378,922.4108869862041,2334.5866402751667,8257.996692049122,1618.1148278442686,1058.1199274614846
6538.548045270763,201.0275266142114,1070.1744436211384,2539.3497542348628,8645.503375241791,1843.0394495640587,1523.1293517014167
7225.0752579221935,794.4159959829683,1189.7154820676253,3404.236408620657,9442.39531906418,0.0,1072.6457101647718
7988.870784784379,1009.9486469219181,298.4683743624661,2960.964301005102,7817.429925879244,1166.9338631579055,718.9709549249135
8059.447291082357,1569.940024507673,812.6950710217926,2670.65736147719,7467.381946593574,1307.5809854247495,1093.5191957231286
8528.167905661465,605.5975236924143,1231.677708933067,2483.061577969437,7100.045364120579,1908.8249348819954,748.771040276689
8890.706775216055,585.0297347541051,1124.9066114417471,2827.4756356266244,5125.141075227987,2889.765441214745,1746.6245698809748
10000.0,1248.0228757956286,1305.0576225484142,3003.856766524678,5349.2443011080295,2623.635743431606,1196.0935323593249
9607.549193778927,752.3099342062657,510.4086245610727,3442.0662038941946,5738.733794092757,2979.239165764893,249.40324021983287
9399.872040757067,679.471710219849,946.2212618270621,3815.651980029612,5961.686672184042,3002.7188158668937,0.0
