Food and Beverage Industry,Consumer Preferences,%
Periodic fluctuation,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution
48.375477498993966,0.0,76.3620189264214,83.61544485199698,100.0,83.41501709977229,82.69811597371776
33.381290878964435,2.4906128329674737,61.55246975100297,71.13549689425346,86.17657890466344,71.27315271254976,72.17492966982604
12.246471168641817,12.237440223764107,52.415866774375864,54.1436894765648,60.04058252285424,44.18322418435597,62.75427883154876
12.37415896630623,19.03131672859579,41.796603402111096,45.77129815315358,27.60020051480868,53.439109803129206,44.344897542221354
9.096927397257037,32.771279995592515,24.776995916715705,33.50828182842355,7.522802879723961,33.42566379387717,47.855555544985755
10.30124032234477,63.5000485435425,30.045805680548526,32.11671842508042,0.170625675060669,22.960009137415675,26.577885673500003
19.63295826667815,69.50811286028983,11.86858198722794,25.370188741256435,23.905734296952875,30.10669941168262,27.070653944356632
25.269322277184276,83.90878895968233,6.950090163787956,20.791088021816993,61.7145675366198,18.227211047309876,18.34319816790874
46.2577535654129,90.59503885385031,9.725316194877266,11.124570629536159,87.41183886275222,10.31744760379751,21.366896917582014
54.073652491206744,94.86015708749353,4.947684319229217,16.43226279752899,86.3296943084935,7.652518724607027,11.08180604506368
74.88926245293726,89.35491659843048,4.259504404407045,13.396027505633546,66.80275255110445,6.775938424291257,15.088615457012242
80.55958545820981,80.3028175256645,11.013122087763326,14.443039329155857,45.471866168160325,6.626514583854798,12.28282483319129
100.0,60.74335089830161,13.489226563529384,14.402829241709158,11.32978816033087,12.743958060389543,12.150336765735172
91.39929160988785,36.718571007350825,2.6839039063998245,15.30744467325417,12.639364347903559,10.543874511948948,15.38879274052323
95.39804566888016,26.7624076323325,0.4403947395631957,16.588655741677492,17.685556883563407,14.611224243747959,10.988262396304735
83.15118131362816,14.073329463972364,0.169248570062534,9.126083481697474,55.27351406917097,7.091147662784452,18.120854707873903
71.6635321337449,10.042268919441328,4.373138630609865,0.0,80.88649859893819,7.378388320951437,10.086128350603465
57.220818128248254,1.9724289404886495,8.436374823637038,13.90095801822267,88.71300725517561,7.1135386985094,10.554733066684191
40.98832245186689,8.543964229213119,0.34884799988151094,13.84646342212954,84.18223836623943,10.503686080571887,20.80178565158451
24.450168531190013,25.766522316714983,6.274540111768066,15.775334308314223,54.360117059771504,10.850798963565568,14.66836786526391
17.46154823929532,40.15717205421526,6.525957543607556,17.395272186327166,20.116967237243575,7.803625227640949,15.232029298230584
11.637933060060508,57.22237081356122,5.469807726581229,9.586839826775655,4.964004108944882,7.910244904837372,16.63130446224157
0.0,76.65837863866462,4.229578688294232,10.854254187265527,6.135676074487854,6.637447944358311,12.26806700779805
