Education and Academics,Academic Performance,score
Single Peak Distribution,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation,Random fluctuation,Random fluctuation,Periodic fluctuation
6.737365479282666,0.25714407953956825,11.904341141281606,76.00379079777727,36.52979396637042,96.44827181960288,25.502008630429017
14.172708454407376,0.9846881379966609,12.065520436852102,44.70513086053111,29.281465555961113,99.1288028492917,6.403601713317871
11.4048576568084,4.636517335591396,7.376144802619167,18.214149911616875,18.033745475378904,82.71472613320286,4.423503368574508
12.33403948136611,3.3258469367329355,9.08367273332493,0.0,18.843086582308565,90.64099589689596,2.191057287892759
14.777411425207426,8.02538760165607,3.143089760565823,18.939012116131487,20.58323685307818,92.96214170046214,20.401085102126896
12.831847993886441,8.572351755762178,10.925676109961465,44.694979458585756,13.686289958748857,98.11864272389909,31.748630122006933
10.9808327477221,2.687942625722957,8.866976557059216,68.72516866460951,11.905182957457441,90.38574339726998,51.45782500204974
8.464167679614787,1.6332609623063876,8.030529399483331,88.10912403612423,0.21261602359780568,100.0,67.3690380227709
12.597810712916921,0.0,4.902680706320483,96.7242281638118,0.0,88.96736878347346,80.48617514384433
6.027369791393969,6.1498162262159575,9.811902979527321,75.59165411572728,0.3185472532199479,89.2110448487568,90.78509689127475
