Education and Academics, Data on employment rates in different schools, %, t
Eastwood Prep,Riverdale High,Glenhaven Academy,Brookfield Academy,Sunnyvale Prep,Meadowbrook High
81.42,88.79,90.03,92.94,87.01,86.36
85.02,79.69,89.18,90.22,86.37,83.68
83.64,88.15,83.49,85.41,88.19,86.16
84.15,92.09,85.72,89.71,91.26,90.27
81.44,84.63,87.8,92.25,91.19,81.21
83.65,86.44,86.68,84.83,84.05,83.03
78.32,81.89,87.14,87.48,89.07,82.78
82.15,90.55,88.0,89.4,87.97,85.78
80.28,78.83,81.82,93.79,89.7,85.01
79.92,85.08,93.69,90.43,88.35,83.4
78.67,85.71,83.63,90.85,88.39,86.38
81.46,79.69,84.29,95.51,89.87,86.26
82.51,81.59,87.73,87.56,87.06,84.91
81.26,92.27,86.49,95.48,89.49,78.31
82.29,87.07,87.68,90.6,89.09,85.94
81.69,88.02,86.13,89.06,90.35,84.96
81.81,84.7,87.47,86.32,86.35,86.29
84.4,81.27,85.71,88.41,90.53,86.5
82.03,85.16,87.41,88.63,87.24,88.94
81.2,87.7,87.97,85.18,88.21,83.12
82.87,91.17,88.71,93.53,88.09,86.25
81.02,88.52,85.48,94.44,85.9,87.15
83.6,86.36,86.92,90.57,86.54,83.56
86.7,88.85,87.73,96.31,86.19,84.57
84.05,90.29,82.07,92.61,87.15,85.67
78.81,99.92,85.36,93.0,84.93,82.64
84.37,84.99,84.97,86.43,92.04,86.18
79.45,89.94,86.19,88.83,87.46,82.67
86.34,82.53,86.16,87.66,88.31,85.56
81.92,88.21,90.55,91.54,87.95,85.84
80.71,89.63,86.17,92.59,88.18,84.54
78.72,85.18,89.36,81.99,85.89,85.92
80.75,91.13,84.82,90.9,90.46,85.85
83.87,86.48,88.72,94.22,85.93,87.19
85.04,83.93,94.57,88.52,92.03,84.67
81.33,86.87,85.47,89.62,88.53,84.72
85.21,88.28,85.98,89.72,88.26,81.69
81.75,91.69,83.1,89.89,89.43,85.83
82.3,79.49,86.83,99.55,87.64,84.88
85.34,87.17,81.78,88.81,89.21,85.05
89.44,82.99,85.66,84.73,91.12,87.01
83.87,89.05,88.32,91.95,92.17,86.48
83.16,89.43,85.67,89.7,84.93,87.9
85.4,89.48,89.76,90.44,89.31,87.16
85.78,94.44,86.04,88.17,90.43,83.57
85.69,87.21,87.65,92.09,87.96,86.93
79.98,91.42,73.05,86.24,90.23,88.09
82.39,96.59,86.54,90.2,88.63,85.41
81.15,88.12,92.74,96.11,90.11,90.99
86.39,76.73,83.1,88.02,86.94,80.17
82.56,89.99,87.54,85.89,87.36,82.15
86.64,83.08,88.37,89.65,86.99,79.53
82.67,95.03,91.24,99.13,84.1,84.85
78.86,90.11,84.3,89.1,87.66,87.51
84.53,87.08,91.43,92.17,87.64,79.16
87.18,88.27,88.47,84.69,84.04,83.18
83.26,90.33,89.63,84.49,86.05,85.44
83.56,88.24,88.18,96.16,90.56,82.73
86.21,83.02,88.32,88.2,86.55,84.18
82.75,90.38,87.16,90.67,87.6,86.08
82.92,85.15,77.82,97.3,87.35,84.99
86.29,83.98,88.59,87.09,91.03,83.87
85.34,96.17,87.44,87.93,88.82,86.14
83.8,84.81,87.75,90.12,86.49,87.71
82.44,91.4,85.6,94.1,85.6,85.85
84.41,88.51,86.15,93.68,89.46,89.32
86.09,89.22,90.16,92.92,92.99,85.13
83.04,100.2,83.08,89.09,88.71,71.79
81.79,91.16,83.8,93.27,87.13,98.73
82.34,86.51,85.48,96.1,84.01,82.82
85.9,80.42,88.11,88.56,87.55,85.51
82.28,84.61,87.35,86.85,87.5,88.5
81.36,82.04,91.25,90.39,84.37,79.27
80.52,82.53,86.76,88.51,87.96,85.91
88.17,91.68,86.67,92.13,85.46,86.47
77.09,88.16,90.2,89.63,90.41,78.91
83.71,94.51,90.12,90.57,84.56,84.65
81.91,87.92,87.11,97.2,87.66,87.22
